NomeArquivo;IdentificadorSetor;setor;evento;numero_processo;ano_processo;relator;sigilo;assunto;jurisdicionado;ordem;resumo;Decisao;ContatoSetor;ContatoRelator
DE_005014_2020_0001.pdf;OUTRO;DE;0;005014;2020;CARLOS THOMPSON COSTA FERNANDES;NULL;AUDITORIA DE CONFORMIDADE (PLANO DE FISCALIZAÇÃO ANUAL 2020/2021);SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL;0001;Capa;N;Nome: DE-DIRETORIA DE EXPEDIENTE - Andar: 0  - telefone: 7375;Nome: GAB.CONS. CARLOS THOMPSON C. FERNANDES - Andar: 10 - telefone: 7262
DE_005014_2020_0002.pdf;OUTRO;DE;1;005014;2020;CARLOS THOMPSON COSTA FERNANDES;NULL;AUDITORIA DE CONFORMIDADE (PLANO DE FISCALIZAÇÃO ANUAL 2020/2021);SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL;0002;Informacao_Importada_Memorando_TCE;N;Nome: DE-DIRETORIA DE EXPEDIENTE - Andar: 0  - telefone: 7375;Nome: GAB.CONS. CARLOS THOMPSON C. FERNANDES - Andar: 10 - telefone: 7262
DAM_FGE_005014_2020_0003.pdf;UT;DAM_FGE;4;005014;2020;CARLOS THOMPSON COSTA FERNANDES;NULL;AUDITORIA DE CONFORMIDADE (PLANO DE FISCALIZAÇÃO ANUAL 2020/2021);SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL;0003;Termo de Apensamento;N;Nome: DAM - COORDENAÇÃO DE FISCALIZAÇÃO DAS CONTAS DE GESTÃO - Andar: 3  - telefone: 7340;Nome: GAB.CONS. CARLOS THOMPSON C. FERNANDES - Andar: 10 - telefone: 7262
DAM_FGE_005014_2020_0004.pdf;UT;DAM_FGE;5;005014;2020;CARLOS THOMPSON COSTA FERNANDES;NULL;AUDITORIA DE CONFORMIDADE (PLANO DE FISCALIZAÇÃO ANUAL 2020/2021);SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL;0004;Termo de Apensamento;N;Nome: DAM - COORDENAÇÃO DE FISCALIZAÇÃO DAS CONTAS DE GESTÃO - Andar: 3  - telefone: 7340;Nome: GAB.CONS. CARLOS THOMPSON C. FERNANDES - Andar: 10 - telefone: 7262
DAM_FGE_005014_2020_0005.pdf;UT;DAM_FGE;6;005014;2020;CARLOS THOMPSON COSTA FERNANDES;NULL;AUDITORIA DE CONFORMIDADE (PLANO DE FISCALIZAÇÃO ANUAL 2020/2021);SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL;0005;Termo de Apensamento;N;Nome: DAM - COORDENAÇÃO DE FISCALIZAÇÃO DAS CONTAS DE GESTÃO - Andar: 3  - telefone: 7340;Nome: GAB.CONS. CARLOS THOMPSON C. FERNANDES - Andar: 10 - telefone: 7262
DE_002279_2020_0001.pdf;OUTRO;DE;0;002279;2020;TARCÍSIO COSTA;NULL;AUDITORIA DE CONFORMIDADE NA GESTÃO DE BENEFÍCIOS POR MOTIVOS DE INVALIDEZ  - ID 65 - PFA 2019/2020;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO RN;0001;Capa;N;Nome: DE-DIRETORIA DE EXPEDIENTE - Andar: 0  - telefone: 7375;Nome: GAB.CONS. TARCÍSIO COSTA - Andar: 11 - telefone: 7260
DE_002279_2020_0002.pdf;OUTRO;DE;1;002279;2020;TARCÍSIO COSTA;NULL;AUDITORIA DE CONFORMIDADE NA GESTÃO DE BENEFÍCIOS POR MOTIVOS DE INVALIDEZ  - ID 65 - PFA 2019/2020;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO RN;0002;Informacao_Importada_Memorando_TCE;N;Nome: DE-DIRETORIA DE EXPEDIENTE - Andar: 0  - telefone: 7375;Nome: GAB.CONS. TARCÍSIO COSTA - Andar: 11 - telefone: 7260
DAP_BEN_002279_2020_0003.pdf;UT;DAP_BEN;4;002279;2020;TARCÍSIO COSTA;NULL;AUDITORIA DE CONFORMIDADE NA GESTÃO DE BENEFÍCIOS POR MOTIVOS DE INVALIDEZ  - ID 65 - PFA 2019/2020;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO RN;0003;Termo de Apensamento;N;Nome: DAP-COORDENADORIA DE FISCALIZAÇÃO DE BENEFÍCIOS - Andar: 2  - telefone: 7243;Nome: GAB.CONS. TARCÍSIO COSTA - Andar: 11 - telefone: 7260
DAP_BEN_002279_2020_0004.pdf;UT;DAP_BEN;5;002279;2020;TARCÍSIO COSTA;NULL;AUDITORIA DE CONFORMIDADE NA GESTÃO DE BENEFÍCIOS POR MOTIVOS DE INVALIDEZ  - ID 65 - PFA 2019/2020;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO RN;0004;Termo de desapensamento;N;Nome: DAP-COORDENADORIA DE FISCALIZAÇÃO DE BENEFÍCIOS - Andar: 2  - telefone: 7243;Nome: GAB.CONS. TARCÍSIO COSTA - Andar: 11 - telefone: 7260
DAP_BEN_002279_2020_0005.pdf;UT;DAP_BEN;6;002279;2020;TARCÍSIO COSTA;NULL;AUDITORIA DE CONFORMIDADE NA GESTÃO DE BENEFÍCIOS POR MOTIVOS DE INVALIDEZ  - ID 65 - PFA 2019/2020;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO RN;0005;ID 65/19 - Aferição o grau de conformidade da gest;N;Nome: DAP-COORDENADORIA DE FISCALIZAÇÃO DE BENEFÍCIOS - Andar: 2  - telefone: 7243;Nome: GAB.CONS. TARCÍSIO COSTA - Andar: 11 - telefone: 7260
