,NomeArquivo,Setor,Evento,NumeroProcesso,AnoProcesso,Relator,Sigilo,Assunto,Jurisdicionado,Informacao,Contato
0,DE_003054_2020_0002.pdf,DE,1,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla1,a31
1,DE_003054_2020_0004.pdf,DE        ,2,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla2,a32
2,DE_003054_2020_0005.pdf,DE        ,0,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla3,a33
3,PROC_003054_2020_0006.pdf,PROC      ,4,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla4,a34
4,PROC_PC_003054_2020_0007.pdf,PROC_PC,6,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla5,a35
5,GCADE_003054_2020_0008.pdf,GCADE,9,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla6,a36
6,GCADE_003054_2020_0009.pdf,GCADE     ,11,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla7,a37
7,secss_003054_2020_0010.pdf,secss,12,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla8,a38
8,SECSS_003054_2020_0011.pdf,SECSS,13,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla9,a39
9,DAE_EXP_003054_2020_0012.pdf,DAE_EXP,16,3054,2020,MARIA ADÉLIA SALES,,TERMO DE AJUSTAMENTO DE GESTÃO Nº 001/2020 - PG,PROJETO RN SUSTENTÁVEL,bla10,a40
10,DE_100005_2020_0001.pdf,DE        ,0,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla11,a41
11,DE_100005_2020_0002.pdf,DE,1,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla12,a42
12,DAP_BEN_100005_2020_0004.pdf,DAP_BEN,4,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla13,a43
13,DAP_100005_2020_0005.pdf,DAP,6,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla14,a44
14,GAMAR_100005_2020_0006.pdf,GAMAR     ,9,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla15,a45
15,secss_100005_2020_0007.pdf,secss,10,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla16,a46
16,SECSS_100005_2020_0008.pdf,SECSS     ,11,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla17,a47
17,SECSS_100005_2020_0009.pdf,SECSS,12,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla18,a48
18,DAE_EXP_100005_2020_0010.pdf,DAE_EXP,15,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla19,a49
19,DAE_MANDA_100005_2020_0011.pdf,DAE_MANDA,18,100005,2020,MARCO ANTÔNIO DE MORAES RÊGO MONTENEGRO,,APRECIAÇÃO DA APOSENTADORIA CONCEDIDA AO(À) SERVIDOR(A) (...).,INSTITUTO DE PREVIDÊNCIA SOCIAL DE SÃO GONÇALO DO AMARANTE,bla20,a50
